Player,League,Stat,Line,Side,Implied_Win_%,FD_Odds,Result,Actual
Victor Wembanyama,NBA,Rebounds,11.5,Under,55.11,-144,DNP/Unknown,0
Max Christie,NBA,Assists,2.5,Over,53.79,-136,DNP/Unknown,0
Kon Knueppel,NBA,Rebounds,5.5,Under,53.79,-136,DNP/Unknown,0
Jalen Suggs,NBA,Assists,6.5,Under,53.79,-136,DNP/Unknown,0
Wendell Carter,NBA,Points,10.5,Over,53.23,-132,DNP/Unknown,0
Nic Claxton,NBA,Points,11.5,Under,53.23,-132,DNP/Unknown,0
Kon Knueppel,NBA,Assists,3.5,Over,53.23,-132,DNP/Unknown,0
Max Christie,NBA,Points,13.5,Over,53.23,-132,DNP/Unknown,0
Chet Holmgren,NBA,Points,19.5,Over,53.23,-132,DNP/Unknown,0
Justin Champagnie,NBA,Points,9.5,Over,53.23,-132,DNP/Unknown,0
Keyonte George,NBA,Rebounds,3.5,Under,53.23,-132,DNP/Unknown,0
Amen Thompson,NBA,Points,14.5,Under,53.23,-132,DNP/Unknown,0
Cason Wallace,NBA,Points,11.5,Under,53.23,-132,DNP/Unknown,0
Jrue Holiday,NBA,Rebounds,3.5,Over,53.23,-132,WIN,5
Julian Champagnie,NBA,Points,10.5,Under,53.23,-132,DNP/Unknown,0
Draymond Green,NBA,Assists,4.5,Under,52.82,-130,DNP/Unknown,0
Aaron Wiggins,NBA,Points,16.5,Over,52.82,-130,DNP/Unknown,0
Amen Thompson,NBA,Rebounds,6.5,Over,52.82,-130,DNP/Unknown,0
Alex Caruso,NBA,Points,6.5,Over,52.82,-130,DNP/Unknown,0
Victor Wembanyama,NBA,Points,24.5,Under,52.82,-130,DNP/Unknown,0
Marcus Smart,NBA,Points,10.5,Under,52.82,-130,DNP/Unknown,0
Jamal Murray,NBA,Points,25.5,Under,52.82,-130,DNP/Unknown,0
Isaiah Joe,NBA,Points,11.5,Over,52.82,-130,DNP/Unknown,0
Noah Clowney,NBA,Rebounds,4.5,Under,52.82,-130,DNP/Unknown,0
Brandon Miller,NBA,Points,21.5,Over,52.82,-130,DNP/Unknown,0
Kyshawn George,NBA,Assists,4.5,Under,52.82,-130,DNP/Unknown,0
Michael Porter,NBA,Points,25.5,Under,52.82,-130,DNP/Unknown,0
Paolo Banchero,NBA,Rebounds,8.5,Over,52.82,-130,DNP/Unknown,0
Deni Avdija,NBA,Rebounds,6.5,Under,52.82,-130,DNP/Unknown,0
Noah Clowney,NBA,Points,11.5,Under,52.82,-130,DNP/Unknown,0
Tristan Silva,NBA,Points,7.5,Over,52.82,-130,DNP/Unknown,0
Luguentz Dort,NBA,Points,10.5,Over,52.82,-130,DNP/Unknown,0
Onyeka Okongwu,NBA,Points,15.5,Under,52.82,-130,DNP/Unknown,0
Jalen Johnson,NBA,Rebounds,10.5,Under,52.82,-130,DNP/Unknown,0
Naji Marshall,NBA,Rebounds,5.5,Over,52.82,-130,DNP/Unknown,0
Mark Williams,NBA,Rebounds,8.5,Under,52.41,-128,DNP/Unknown,0
Jaylen Wells,NBA,Rebounds,3.5,Under,52.41,-128,WIN,3
LaMelo Ball,NBA,Rebounds,4.5,Over,52.41,-128,DNP/Unknown,0
Moses Moody,NBA,Points,14.5,Under,52.41,-128,DNP/Unknown,0
Isaac Okoro,NBA,Rebounds,3.5,Under,52.41,-128,DNP/Unknown,0
Daniel Gafford,NBA,Rebounds,7.5,Over,52.41,-128,DNP/Unknown,0
Cooper Flagg,NBA,Points,24.5,Over,52.41,-128,DNP/Unknown,0
Nolan Traore,NBA,Rebounds,2.5,Over,52.41,-128,DNP/Unknown,0
LeBron James,NBA,Points,23.5,Under,51.92,-125,DNP/Unknown,0
Nikola Jokić,NBA,Points,26.5,Under,51.92,-125,DNP/Unknown,0
Cody Williams,NBA,Points,6.5,Under,51.92,-125,DNP/Unknown,0
De'Aaron Fox,NBA,Rebounds,3.5,Over,51.92,-125,DNP/Unknown,0
CJ McCollum,NBA,Points,16.5,Under,51.92,-125,DNP/Unknown,0
Jake LaRavia,NBA,Points,9.5,Under,51.92,-125,DNP/Unknown,0
Paolo Banchero,NBA,Points,23.5,Over,51.92,-125,DNP/Unknown,0
De'Anthony Melton,NBA,Points,16.5,Under,51.92,-125,DNP/Unknown,0
Anthony Black,NBA,Points,16.5,Over,51.92,-125,DNP/Unknown,0
Toumani Camara,NBA,Points,12.5,Under,51.92,-125,LOSS,15
Kevin Durant,NBA,Points,23.5,Over,51.92,-125,DNP/Unknown,0
Egor Dëmin,NBA,Assists,3.5,Under,51.92,-125,DNP/Unknown,0
GG Jackson,NBA,Points,15.5,Under,51.92,-125,WIN,15
Royce O'Neale,NBA,Rebounds,4.5,Under,51.92,-125,DNP/Unknown,0
Oso Ighodaro,NBA,Points,5.5,Over,51.92,-125,DNP/Unknown,0
Day'Ron Sharpe,NBA,Points,8.5,Over,51.64,-122,DNP/Unknown,0
Dyson Daniels,NBA,Assists,6.5,Under,51.42,-122,DNP/Unknown,0
Nolan Traore,NBA,Points,10.5,Under,51.42,-122,DNP/Unknown,0
Alex Caruso,NBA,Assists,2.5,Over,51.42,-122,DNP/Unknown,0
VJ Edgecombe,NBA,Points,14.5,Under,51.42,-122,DNP/Unknown,0
Dillon Brooks,NBA,Points,19.5,Under,51.42,-122,DNP/Unknown,0
Justin Champagnie,NBA,Rebounds,6.5,Over,51.42,-122,DNP/Unknown,0
Deandre Ayton,NBA,Points,11.5,Over,51.42,-122,DNP/Unknown,0
Klay Thompson,NBA,Points,9.5,Over,51.42,-122,DNP/Unknown,0
Moussa Diabaté,NBA,Points,9.5,Over,51.42,-122,DNP/Unknown,0
Isaiah Hartenstein,NBA,Points,9.5,Under,51.42,-122,DNP/Unknown,0
Draymond Green,NBA,Points,8.5,Under,51.42,-122,DNP/Unknown,0
Deandre Ayton,NBA,Rebounds,8.5,Over,51.42,-122,DNP/Unknown,0
Christian Braun,NBA,Assists,2.5,Under,51.2,-122,DNP/Unknown,0
Stephon Castle,NBA,Rebounds,4.5,Over,51.01,-120,DNP/Unknown,0
Deni Avdija,NBA,Points,21.5,Over,51.01,-120,DNP/Unknown,0
Dyson Daniels,NBA,Points,10.5,Over,51.01,-120,DNP/Unknown,0
Royce O'Neale,NBA,Points,8.5,Under,51.01,-120,DNP/Unknown,0
Nickeil Alexander-Walker,NBA,Assists,3.5,Over,51.01,-120,DNP/Unknown,0
Mark Williams,NBA,Points,10.5,Under,51.01,-120,DNP/Unknown,0
Bilal Coulibaly,NBA,Assists,2.5,Over,51.01,-120,DNP/Unknown,0
Santi Aldama,NBA,Points,13.5,Under,51.01,-120,DNP/Unknown,0
Austin Reaves,NBA,Points,23.5,Under,51.01,-120,DNP/Unknown,0
Tari Eason,NBA,Points,11.5,Under,51.01,-120,DNP/Unknown,0
Keyonte George,NBA,Points,21.5,Over,51.01,-120,DNP/Unknown,0
Lauri Markkanen,NBA,Points,21.5,Over,51.01,-120,DNP/Unknown,0
Max Christie,NBA,Rebounds,3.5,Under,51.01,-120,DNP/Unknown,0
Cameron Johnson,NBA,Points,9.5,Under,51.01,-120,DNP/Unknown,0
Isaiah Hartenstein,NBA,Assists,3.5,Under,51.01,-120,DNP/Unknown,0
Jalen Smith,NBA,Points,11.5,Over,51.01,-120,DNP/Unknown,0
Ty Jerome,NBA,Points,14.5,Over,50.61,-118,DNP/Unknown,0
Julian Champagnie,NBA,Rebounds,5.5,Over,50.61,-118,DNP/Unknown,0
Ty Jerome,NBA,Assists,4.5,Over,50.61,-118,DNP/Unknown,0
Jaylen Wells,NBA,Points,13.5,Over,50.61,-118,LOSS,13
Kyshawn George,NBA,Points,14.5,Over,50.61,-118,DNP/Unknown,0
Ace Bailey,NBA,Points,12.5,Over,50.61,-118,DNP/Unknown,0
Jerami Grant,NBA,Points,16.5,Over,50.61,-118,WIN,23
Kon Knueppel,NBA,Points,17.5,Over,50.61,-118,DNP/Unknown,0
Al Horford,NBA,Rebounds,5.5,Over,50.61,-118,DNP/Unknown,0
Harrison Barnes,NBA,Points,8.5,Under,50.61,-118,DNP/Unknown,0
Jabari Smith,NBA,Points,13.5,Under,50.61,-118,DNP/Unknown,0
Jaylin Williams,NBA,Points,6.5,Under,50.61,-118,DNP/Unknown,0
Alperen Sengun,NBA,Points,18.5,Under,50.61,-118,DNP/Unknown,0
Al Horford,NBA,Points,9.5,Under,50.4,-118,DNP/Unknown,0
Alex Sarr,NBA,Points,17.5,Over,50.4,-118,DNP/Unknown,0
Jrue Holiday,NBA,Points,13.5,Over,50.0,-114,WIN,20
Brandin Podziemski,NBA,Assists,3.5,Under,50.0,-114,DNP/Unknown,0
Moses Moody,NBA,Rebounds,3.5,Over,50.0,-114,DNP/Unknown,0
Ty Jerome,NBA,Rebounds,2.5,Over,50.0,-114,DNP/Unknown,0
Onyeka Okongwu,NBA,Rebounds,7.5,Under,50.0,-114,DNP/Unknown,0
Brandin Podziemski,NBA,Assists,3.5,Over,50.0,-114,DNP/Unknown,0
Rui Hachimura,NBA,Points,11.5,Under,50.0,-114,DNP/Unknown,0
Matas Buzelis,NBA,Points,18.5,Over,50.0,-114,DNP/Unknown,0
Moses Moody,NBA,Rebounds,3.5,Under,50.0,-114,DNP/Unknown,0
Onyeka Okongwu,NBA,Rebounds,7.5,Over,50.0,-114,DNP/Unknown,0
Quentin Grimes,NBA,Points,10.5,Over,50.0,-114,DNP/Unknown,0
Jrue Holiday,NBA,Points,13.5,Under,50.0,-114,LOSS,20
Isaac Okoro,NBA,Points,11.0,Under,50.0,-114,DNP/Unknown,0
Quentin Grimes,NBA,Points,10.5,Under,50.0,-114,DNP/Unknown,0
Matas Buzelis,NBA,Points,18.5,Under,50.0,-114,DNP/Unknown,0
Rui Hachimura,NBA,Points,11.5,Over,50.0,-114,DNP/Unknown,0
Ty Jerome,NBA,Rebounds,2.5,Under,50.0,-114,DNP/Unknown,0
Devin Vassell,NBA,Points,12.5,Under,50.0,-114,DNP/Unknown,0
Naji Marshall,NBA,Assists,3.5,Under,50.0,-114,DNP/Unknown,0
Reed Sheppard,NBA,Points,10.5,Under,50.0,-114,DNP/Unknown,0
Devin Vassell,NBA,Rebounds,3.5,Over,50.0,-114,DNP/Unknown,0
Naji Marshall,NBA,Points,17.5,Under,50.0,-114,DNP/Unknown,0
Egor Dëmin,NBA,Points,12.5,Under,50.0,-114,DNP/Unknown,0
Devin Vassell,NBA,Rebounds,3.5,Under,50.0,-114,DNP/Unknown,0
Devin Vassell,NBA,Points,12.5,Over,50.0,-114,DNP/Unknown,0
Naji Marshall,NBA,Assists,3.5,Over,50.0,-114,DNP/Unknown,0
Clint Capela,NBA,Rebounds,5.5,Over,50.0,-114,DNP/Unknown,0
Egor Dëmin,NBA,Points,12.5,Over,50.0,-114,DNP/Unknown,0
De'Aaron Fox,NBA,Points,17.5,Over,50.0,-114,DNP/Unknown,0
Reed Sheppard,NBA,Points,10.5,Over,50.0,-114,DNP/Unknown,0
De'Aaron Fox,NBA,Points,17.5,Under,50.0,-114,DNP/Unknown,0
Naji Marshall,NBA,Points,17.5,Over,50.0,-114,DNP/Unknown,0
Clint Capela,NBA,Rebounds,5.5,Under,50.0,-114,DNP/Unknown,0
Alex Sarr,NBA,Points,17.5,Under,49.6,-114,DNP/Unknown,0
Al Horford,NBA,Points,9.5,Over,49.6,-114,DNP/Unknown,0
Jerami Grant,NBA,Points,16.5,Under,49.39,-112,LOSS,23
Julian Champagnie,NBA,Rebounds,5.5,Under,49.39,-112,DNP/Unknown,0
Jaylen Wells,NBA,Points,13.5,Under,49.39,-112,WIN,13
Jabari Smith,NBA,Points,13.5,Over,49.39,-112,DNP/Unknown,0
Alperen Sengun,NBA,Points,18.5,Over,49.39,-112,DNP/Unknown,0
Kon Knueppel,NBA,Points,17.5,Under,49.39,-112,DNP/Unknown,0
Ty Jerome,NBA,Points,14.5,Under,49.39,-112,DNP/Unknown,0
