Date,Player,League,Stat,Line,Side,Implied_Win_%,FD_Odds,Result,Actual
2026-02-09,Domantas Sabonis,NBA,Assists,3.5,Under,54.58,-140,DNP/Unknown,0
2026-02-09,Cade Cunningham,NBA,Rebounds,4.5,Over,54.19,-138,WIN,9
2026-02-09,Zaccharie Risacher,NBA,Rebounds,3.5,Under,54.19,-138,LOSS,4
2026-02-09,Dyson Daniels,NBA,Points,10.5,Under,53.79,-136,DNP/Unknown,0
2026-02-09,Jalen Smith,NBA,Rebounds,8.5,Under,53.79,-136,DNP/Unknown,0
2026-02-09,Terance Mann,NBA,Points,7.5,Over,53.79,-136,WIN,9
2026-02-09,Kevin Porter,NBA,Assists,6.5,Over,53.79,-136,WIN,7
2026-02-09,Devin Carter,NBA,Points,12.5,Under,53.79,-136,WIN,12
2026-02-09,Austin Reaves,NBA,Assists,4.5,Under,53.23,-132,DNP/Unknown,0
2026-02-09,Moses Moody,NBA,Points,16.5,Over,53.23,-132,DNP/Unknown,0
2026-02-09,Lauri Markkanen,NBA,Assists,1.5,Under,53.23,-132,WIN,1
2026-02-09,Jrue Holiday,NBA,Assists,5.5,Under,53.23,-132,DNP/Unknown,0
2026-02-09,Jalen Duren,NBA,Rebounds,10.5,Under,53.23,-132,WIN,5
2026-02-09,Joel Embiid,NBA,Assists,4.5,Under,53.23,-132,DNP/Unknown,0
2026-02-09,Cameron Johnson,NBA,Rebounds,3.5,Under,53.23,-132,DNP/Unknown,0
2026-02-09,Jalen Duren,NBA,Points,17.5,Under,53.23,-132,WIN,15
2026-02-09,Danny Wolf,NBA,Rebounds,6.5,Under,53.23,-132,WIN,6
2026-02-09,James Harden,NBA,Assists,8.5,Under,52.82,-130,DNP/Unknown,0
2026-02-09,Ace Bailey,NBA,Points,12.5,Over,52.82,-130,WIN,16
2026-02-09,Bam Adebayo,NBA,Rebounds,10.5,Over,52.82,-130,WIN,11
2026-02-09,VJ Edgecombe,NBA,Rebounds,5.5,Under,52.82,-130,DNP/Unknown,0
2026-02-09,Ausar Thompson,NBA,Assists,2.5,Under,52.82,-130,WIN,2
2026-02-09,Toumani Camara,NBA,Rebounds,5.5,Under,52.82,-130,DNP/Unknown,0
2026-02-09,Isaiah Collier,NBA,Points,14.5,Over,52.82,-130,LOSS,13
2026-02-09,Noah Clowney,NBA,Points,14.5,Under,52.82,-130,LOSS,22
2026-02-09,Day'Ron Sharpe,NBA,Points,10.5,Under,52.82,-130,WIN,6
2026-02-09,Scoot Henderson,NBA,Rebounds,2.5,Over,52.82,-130,DNP/Unknown,0
2026-02-09,Ty Jerome,NBA,Rebounds,2.5,Under,52.82,-130,DNP/Unknown,0
2026-02-09,Davion Mitchell,NBA,Assists,6.5,Under,52.82,-130,WIN,5
