Date,Player,Stat,Line,Side,Implied_Win_%,FD_Odds
2026-02-10,Naji Marshall,Rebounds,5.0,Under,58.94,-166
2026-02-10,Julian Champagnie,Rebounds,5.0,Under,58.94,-166
2026-02-10,Collin Gillespie,Rebounds,4.0,Over,57.96,-160
2026-02-10,Daniel Gafford,Rebounds,7.0,Under,57.84,-158
2026-02-10,Jordan Goodwin,Rebounds,5.0,Over,57.5,-156
2026-02-10,Royce O'Neale,Rebounds,5.0,Over,57.5,-156
2026-02-10,Dillon Brooks,Rebounds,4.0,Over,57.15,-154
2026-02-10,Alperen Sengun,Assists,6.0,Under,57.15,-154
2026-02-10,Stephon Castle,Rebounds,5.0,Over,56.31,-148
2026-02-10,Mark Williams,Rebounds,9.0,Under,55.95,-146
2026-02-10,Kevin Durant,Assists,4.0,Under,55.95,-146
2026-02-10,Kevin Durant,Rebounds,5.0,Over,55.44,-142
2026-02-10,Victor Wembanyama,Rebounds,11.0,Under,55.44,-142
2026-02-10,De'Aaron Fox,Assists,6.0,Over,55.06,-140
2026-02-10,Keldon Johnson,Rebounds,4.0,Under,55.06,-140
2026-02-10,Devin Booker,Assists,6.0,Under,54.67,-138
2026-02-10,Cooper Flagg,Assists,4.5,Over,54.67,-138
2026-02-10,Cooper Flagg,Assists,4.5,Over,54.67,-138
2026-02-10,Stephon Castle,Assists,7.0,Over,54.67,-138
2026-02-10,Deandre Ayton,Rebounds,8.0,Under,54.28,-136
