Date,Player,League,Stat,Line,Side,Implied_Win_%,FD_Odds
2026-02-12,Austin Reaves,NBA,Rebs+Asts,10.5,Over,53.79,-136
2026-02-12,Jrue Holiday,NBA,Assists,6.5,Under,53.79,-136
2026-02-12,Marcus Smart,NBA,Pts+Rebs+Asts,18.5,Under,53.23,-132
2026-02-12,Deni Avdija,NBA,Rebounds,6.5,Under,53.23,-132
2026-02-12,Naji Marshall,NBA,Points,18.5,Over,53.23,-132
2026-02-12,Bobby Portis,NBA,Points,11.5,Under,52.82,-130
2026-02-12,Myles Turner,NBA,Pts+Rebs,18.5,Under,52.82,-130
2026-02-12,Max Christie,NBA,Pts+Rebs,19.5,Under,52.82,-130
2026-02-12,Naji Marshall,NBA,Pts+Asts,23.5,Under,52.82,-130
2026-02-12,Bobby Portis,NBA,Pts+Rebs,17.5,Under,52.82,-130
2026-02-12,Jrue Holiday,NBA,Points,15.5,Under,52.82,-130
2026-02-12,Myles Turner,NBA,Rebounds,5.5,Under,52.82,-130
2026-02-12,Austin Reaves,NBA,Rebounds,4.5,Over,52.82,-130
2026-02-12,Toumani Camara,NBA,Pts+Rebs,19.5,Under,52.82,-130
2026-02-12,Jrue Holiday,NBA,Pts+Rebs+Asts,26.5,Under,52.41,-128
2026-02-12,LeBron James,NBA,Pts+Rebs+Asts,37.5,Over,52.41,-128
2026-02-12,Deni Avdija,NBA,Rebs+Asts,11.5,Over,52.41,-128
2026-02-12,Cody Williams,NBA,Points,8.5,Under,52.41,-128
2026-02-12,Cason Wallace,NBA,Pts+Rebs+Asts,20.5,Over,52.41,-128
2026-02-12,Toumani Camara,NBA,Rebs+Asts,7.5,Under,52.41,-128
2026-02-12,Jericho Sims,NBA,Points,5.5,Under,51.92,-125
2026-02-12,Isaiah Collier,NBA,Points,16.5,Under,51.92,-125
2026-02-12,Deandre Ayton,NBA,Pts+Rebs,21.5,Over,51.92,-125
2026-02-12,Isaiah Hartenstein,NBA,Pts+Asts,15.5,Over,51.92,-125
2026-02-12,Toumani Camara,NBA,Points,13.5,Over,51.92,-125
2026-02-12,Bobby Portis,NBA,Rebounds,5.5,Over,51.92,-125
2026-02-12,Jrue Holiday,NBA,Rebs+Asts,10.5,Over,51.92,-125
2026-02-12,Ace Bailey,NBA,Pts+Rebs,23.5,Over,51.92,-125
2026-02-12,Isaiah Hartenstein,NBA,Pts+Rebs,19.5,Over,51.92,-125
2026-02-12,Marcus Smart,NBA,Pts+Asts,14.5,Under,51.42,-122
2026-02-12,Daniel Gafford,NBA,Pts+Rebs,16.5,Over,51.42,-122
2026-02-12,Austin Reaves,NBA,Pts+Rebs+Asts,35.5,Over,51.42,-122
2026-02-12,Aaron Wiggins,NBA,Pts+Asts,20.5,Over,51.42,-122
2026-02-12,Caleb Martin,NBA,Pts+Rebs,10.5,Over,51.42,-122
2026-02-12,Aaron Wiggins,NBA,Pts+Rebs,21.5,Under,51.42,-122
2026-02-12,Kevin Porter,NBA,Pts+Rebs+Asts,31.5,Under,51.42,-122
2026-02-12,Cason Wallace,NBA,Rebs+Asts,7.5,Over,51.42,-122
2026-02-12,Chet Holmgren,NBA,Pts+Rebs,28.5,Under,51.42,-122
2026-02-12,Cason Wallace,NBA,Pts+Asts,17.5,Under,51.42,-122
2026-02-12,Max Christie,NBA,Pts+Rebs+Asts,21.5,Over,51.42,-122
2026-02-12,Max Christie,NBA,Pts+Asts,18.5,Under,51.42,-122
2026-02-12,Brice Sensabaugh,NBA,Pts+Asts,20.5,Over,51.42,-122
2026-02-12,Kyle Kuzma,NBA,Pts+Rebs,18.5,Under,51.42,-122
2026-02-12,Brice Sensabaugh,NBA,Pts+Rebs,22.5,Over,51.42,-122
2026-02-12,Jerami Grant,NBA,Pts+Rebs+Asts,25.5,Under,51.42,-122
2026-02-12,Isaiah Collier,NBA,Pts+Rebs,20.5,Under,51.42,-122
2026-02-12,Kevin Porter,NBA,Pts+Rebs,23.5,Over,51.2,-122
2026-02-12,Cody Williams,NBA,Rebounds,3.5,Over,51.01,-120
2026-02-12,Brice Sensabaugh,NBA,3-Pt Made,2.5,Over,51.01,-120
2026-02-12,Donovan Clingan,NBA,Points,13.5,Under,51.01,-120
2026-02-12,Kyle Filipowski,NBA,Pts+Rebs+Asts,27.5,Over,51.01,-120
2026-02-12,Jake LaRavia,NBA,Points,9.5,Over,51.01,-120
2026-02-12,Kyle Filipowski,NBA,Points,15.5,Under,51.01,-120
2026-02-12,Luguentz Dort,NBA,Pts+Rebs,14.5,Over,51.01,-120
2026-02-12,Deni Avdija,NBA,Pts+Asts,28.5,Under,51.01,-120
2026-02-12,Toumani Camara,NBA,Pts+Rebs+Asts,21.5,Under,50.61,-118
2026-02-12,Kevin Porter,NBA,Pts+Asts,25.5,Under,50.61,-118
2026-02-12,P.J. Washington,NBA,Points,14.5,Over,50.61,-118
2026-02-12,Isaiah Collier,NBA,Pts+Asts,27.5,Over,50.61,-118
2026-02-12,Deni Avdija,NBA,Pts+Rebs,30.0,Under,50.61,-118
2026-02-12,Deandre Ayton,NBA,Points,12.5,Over,50.61,-118
2026-02-12,Marcus Smart,NBA,3-Pt Made,1.5,Under,50.61,-118
2026-02-12,Cason Wallace,NBA,Pts+Rebs,16.5,Under,50.61,-118
2026-02-12,Naji Marshall,NBA,Pts+Rebs+Asts,28.5,Under,50.61,-118
2026-02-12,Naji Marshall,NBA,Pts+Rebs,24.5,Under,50.61,-118
2026-02-12,LeBron James,NBA,Pts+Rebs,29.5,Over,50.61,-118
2026-02-12,AJ Green,NBA,Pts+Rebs,13.5,Over,50.61,-118
2026-02-12,P.J. Washington,NBA,Pts+Rebs,20.5,Over,50.61,-118
2026-02-12,LeBron James,NBA,Rebs+Asts,14.5,Under,50.61,-118
2026-02-12,AJ Green,NBA,Points,10.5,Over,50.61,-118
2026-02-12,Luguentz Dort,NBA,Points,10.5,Over,50.61,-118
2026-02-12,Isaiah Hartenstein,NBA,Points,10.5,Over,50.61,-118
2026-02-12,AJ Green,NBA,Pts+Rebs+Asts,15.5,Over,50.4,-118
2026-02-12,Max Christie,NBA,Assists,2.5,Over,50.4,-118
2026-02-12,Max Christie,NBA,Points,15.5,Over,50.4,-118
2026-02-12,Jerami Grant,NBA,Pts+Asts,21.5,Under,50.0,-114
2026-02-12,Ace Bailey,NBA,Points,18.5,Over,50.0,-114
2026-02-12,Jerami Grant,NBA,Pts+Asts,21.5,Over,50.0,-114
2026-02-12,Jrue Holiday,NBA,Pts+Rebs,19.5,Over,50.0,-114
2026-02-12,Marcus Smart,NBA,Pts+Rebs,14.5,Over,50.0,-114
2026-02-12,Jrue Holiday,NBA,Pts+Rebs,19.5,Under,50.0,-114
2026-02-12,Austin Reaves,NBA,Points,24.5,Under,50.0,-114
2026-02-12,Austin Reaves,NBA,Points,24.5,Over,50.0,-114
2026-02-12,Jerami Grant,NBA,Rebounds,3.5,Over,50.0,-114
2026-02-12,Ace Bailey,NBA,Points,18.5,Under,50.0,-114
2026-02-12,Jerami Grant,NBA,Rebounds,3.5,Under,50.0,-114
2026-02-12,Kyle Filipowski,NBA,Pts+Asts,18.5,Over,50.0,-114
2026-02-12,Kyle Filipowski,NBA,Pts+Asts,18.5,Under,50.0,-114
2026-02-12,Caleb Martin,NBA,Points,7.0,Under,50.0,-114
2026-02-12,Donovan Clingan,NBA,Pts+Asts,15.5,Over,50.0,-114
2026-02-12,Donovan Clingan,NBA,Pts+Asts,15.5,Under,50.0,-114
2026-02-12,Austin Reaves,NBA,Pts+Rebs,29.5,Under,50.0,-114
2026-02-12,Austin Reaves,NBA,Pts+Rebs,29.5,Over,50.0,-114
2026-02-12,Daniel Gafford,NBA,Points,9.5,Under,50.0,-114
2026-02-12,LeBron James,NBA,Pts+Asts,31.5,Under,50.0,-114
2026-02-12,Kyle Filipowski,NBA,Pts+Rebs,24.5,Under,50.0,-114
2026-02-12,Daniel Gafford,NBA,Points,9.5,Over,50.0,-114
2026-02-12,LeBron James,NBA,Pts+Asts,31.5,Over,50.0,-114
2026-02-12,Marcus Smart,NBA,Pts+Rebs,14.5,Under,50.0,-114
2026-02-12,Brice Sensabaugh,NBA,Points,18.5,Under,50.0,-114
2026-02-12,Brice Sensabaugh,NBA,Points,18.5,Over,50.0,-114
